German,Meaning
"bringen,","가져오다,데려오다"
"mitbringen,","함께가져오다,데려오다"
"zurueckbringen,",되돌려주다
"herbringen,",이쪽으로가져오다
"hinbringen,",(저쪽에)가져다주다
"unterbringen,","숙소를제공하다,수용하다"
"einbringen,","아이디어,이익을 제시하다"
"aufbringen,","(돈,에너지)마련하다,내다"
"anbringen,","부착,설치하다"
"vorbringen,","주장,제시하다"
"herausbringen,","(책,신상품)출시,발행하다"
"umbringen,","죽이다,살해하다(구)"
"verbringen,",(시간을)보내다
"hinunterbringen,",아래로가져가다
"hinaufbringen,",위로가져가다
"beibringen,",가르치다
"durchbringen,",(법률안)통과시키다
"ueberbringen,","(메시지,선물)전달하다"
"zusammenbringen,",모으다
"weiterbringen,","발전,진보시키다"
"wegbringen,",(다른데로)치우다
"naeherbringen,",가깝게하다
"in Ordnung bringen,",4를정리하다/바로잡다
"zur Sprache bringen,","(화제,문제를)제기하다"
"mit sich bringen,","(결과,문제를)수반하다"
"in Schwierigkeiten bringen,",4를곤란하게만들다
"zum Lachen bringen,",4를웃게만들다
"zum Weinen bringen,",4를울게만들다
"zur Verzweiflung bringen,",4를절망하게만들다
"zum Schweigen bringen,",입을다물게하다
"in Sicherheit bringen,",4를안전하게대피시키다
"in Erfahrung bringen,","알아내다,조사하다"
"in Gang bringen,","(과정,기계를)가동시키다"
"zu Ende bringen,","마무리하다,끝내다"
"aus der Fassung bringen,",평정을잃게하다
"in Bewegung bringen,","움직이게하다,작동시키다"
"(mit) in Verbindung bringen,",연관시키다
"um Verstand bringen,","정신을잃게하다,홀리다"
"auf den neuesten Stand bringen,",최신정보로업데이트하다
"in Gefahr bringen,",위험에빠뜨리다
"zum Erfolg bringen,",성공시키다
